ID;Категория;Позиция;Гранулярность и история;Источник;Формат;NDA Tier;Модули;Приоритет
1.1;Мастер-данные;"Иерархия активов: компания → филиал → участок → НПС → блок → оборудование";"1 НПС полностью + смежные участки";"1С:ERP / SAP PM";"CSV / SQL-выгрузка";1;"M1, M2, M3, M4";P0
1.2;Мастер-данные;"Реестр оборудования НПС: tag (KKS), тип, модель, изготовитель, год выпуска, год установки, зав. №";"По всем единицам пилотной НПС";"1С:ERP / EAM";"CSV / XLSX";1;"M2, M4";P0
1.3;Мастер-данные;"Паспортные параметры: Q ном., H ном., n ном., P проектное, MAOP, мощность, КПД, материал";"По НА-1…N, ПНС, СИКН, ФС, РВС, МТ-участки";"Паспорта · ОТЭ · 1С";"PDF + структурированная XLSX";2;"M2, M4";P0
1.4;Мастер-данные;"Геокоординаты НПС, узлов, ниток МТ; пересечения (ППМН, ж/д, авто), охранные зоны, HCA";"WGS84, точность ≥ 10 м";"GIS Esri ArcGIS";"Shapefile / GeoJSON / KML";2;"M1, M4";P0
1.5;Мастер-данные;"Чертежи: P&ID, изометрия линий, генплан НПС, профиль трассы";"Актуальная редакция as-built";"АРМ проектировщика / архив";"DWG / PDF";2;"M2, M4";P1
1.6;Мастер-данные;"Параметры МТ: длина, диаметр, толщина стенки, марка стали, год прокладки, тип покрытия, кольцевые сварные швы";"По участку, погоновочно";"Архив проектов · GIS";"CSV + DWG";2;"M1, M4";P0
2.1;SCADA / процесс;"Тэг-лист SCADA пилотной НПС: tag, описание, тип, ед. изм., диапазон, EU-границы, alarm-уровни";"Все тэги НПС (≈ 800–1500 шт.)";"SCADA Schneider Electric";"CSV из конфигуратора";2;M2;P0
2.2;SCADA / процесс;"Параметры МНА (НА-1…N): расход, давление всас/нагнет, обороты, ток, мощность, T подшипников DE/NDE, виброскорость DE/NDE, T масла, готовность к пуску";"1 сек online + 1 мин агрегация · история ≥ 12 мес";"OSIsoft PI Server";"PI Web API / CSV";2;"M2, M4";P0
2.3;SCADA / процесс;"Параметры ПНС: расход, давление вход/выход, обороты, ток";"1 мин · история ≥ 12 мес";"OSIsoft PI";"CSV / PI Web API";2;M2;P0
2.4;SCADA / процесс;"Параметры РВС: уровень, заполнение %, T1/T2, давление паров, плотность, состояние ПДК-клапана, обогрев";"1 мин · история ≥ 12 мес";"OSIsoft PI";"CSV / PI Web API";2;M2;P0
